,SERVICE_NUMBER,ROUTE,DEPARTURE,ARRIVAL,CAPTURE,DAY_X,STATUS,CABIN,CAPACITY,LID,CURRENT_BUCKET,CURRENT_BUCKET_PRICE,BOOKINGS,REVENUE_INCL_TAX,REVENUE_EXCL_TAX,MAXLEG_LF,MAXLEG_BOOKINGS,OPTIM_STATUS
11436,AW3121,ATH - CDG,2023-10-01 05:55:00,2023-10-01 10:25:00,2023-10-03,1,OPEN,2,189,191,B,285.0,178,24063.1,20808.07,0.93,178,DEACTIVATED
10990,AW4781,VIE - CDG,2023-10-01 06:00:00,2023-10-01 08:00:00,2023-10-02,1,OPEN,2,189,192,Q,150.0,175,14043.0,10826.5,0.91,175,DEACTIVATED
13972,AW7661,OSL - CDG,2023-10-01 06:00:00,2023-10-01 09:30:00,2023-10-03,1,OPEN,2,189,193,S,284.0,188,13852.75,9902.57,0.97,188,DEACTIVATED
13549,AW7663,OSL - CDG,2023-10-01 06:30:00,2023-10-01 10:00:00,2023-10-03,1,OPEN,2,189,193,S,284.0,187,13005.64,9009.75,0.97,187,DEACTIVATED
17106,AW3953,ZAG - CDG,2023-10-01 06:30:00,2023-10-01 08:40:00,2023-10-02,1,OPEN,2,189,193,X,60.0,193,15092.32,9165.1,1.0,193,DEACTIVATED
9647,AW7640,CDG - OSL,2023-10-01 07:20:00,2023-10-01 09:00:00,2023-10-02,1,OPEN,2,180,184,X,77.0,158,8921.72,3959.9,0.86,158,DEACTIVATED
13199,AW7641,OSL - CDG,2023-10-01 09:40:00,2023-10-01 13:10:00,2023-10-03,1,OPEN,2,180,184,K,99.0,186,18438.27,14468.69,1.01,186,DEACTIVATED
12905,AW7658,CDG - OSL,2023-10-01 10:20:00,2023-10-01 12:00:00,2023-10-02,1,OPEN,2,189,193,H,145.0,185,13979.77,8187.82,0.96,185,DEACTIVATED
11129,AW3288,CDG - TLL,2023-10-01 10:50:00,2023-10-01 15:25:00,2023-10-02,1,OPEN,2,189,194,Q,226.0,176,23772.0,13814.6,0.91,176,DEACTIVATED
11130,AW3009,ATH - CDG,2023-10-01 10:55:00,2023-10-01 15:25:00,2023-10-03,1,OPEN,2,189,191,D,315.0,176,29264.81,26064.95,0.92,176,DEACTIVATED
12371,AW4638,CDG - VIE,2023-10-01 11:00:00,2023-10-01 13:10:00,2023-10-02,1,OPEN,2,189,193,Y,377.0,183,23618.0,17870.57,0.95,183,DEACTIVATED
11954,AW7659,OSL - CDG,2023-10-01 12:40:00,2023-10-01 16:10:00,2023-10-03,1,OPEN,2,189,193,Y,384.0,181,25754.67,21852.64,0.94,181,DEACTIVATED
12144,AW4639,VIE - CDG,2023-10-01 13:55:00,2023-10-01 15:55:00,2023-10-02,1,OPEN,2,189,192,F,232.0,182,19886.52,16541.36,0.95,182,DEACTIVATED
11273,AW3556,CDG - HEL,2023-10-01 14:40:00,2023-10-01 19:05:00,2023-10-02,1,OPEN,2,189,189,M,215.0,177,23037.29,17563.51,0.94,177,DEACTIVATED
12143,AW3916,CDG - ZAG,2023-10-01 15:20:00,2023-10-01 17:20:00,2023-10-02,1,OPEN,2,189,192,B,184.0,182,16954.28,11308.62,0.95,182,DEACTIVATED
15582,AW7928,CDG - CPH,2023-10-01 15:55:00,2023-10-01 16:50:00,2023-10-02,1,OPEN,2,189,194,S,222.0,190,19826.34,13736.45,0.98,190,DEACTIVATED
17107,AW3289,TLL - CDG,2023-10-01 16:20:00,2023-10-01 19:05:00,2023-10-02,1,OPEN,2,189,193,G,91.0,193,28659.92,24220.92,1.0,193,DEACTIVATED
10876,AW7646,CDG - OSL,2023-10-01 16:45:00,2023-10-01 18:25:00,2023-10-02,1,OPEN,2,189,193,H,145.0,174,12542.0,7080.18,0.9,174,DEACTIVATED
8618,AW7929,CPH - CDG,2023-10-01 17:35:00,2023-10-01 20:35:00,2023-10-03,1,OPEN,2,189,192,R,77.0,136,11630.2,6217.94,0.71,136,DEACTIVATED
17108,AW4634,CDG - VIE,2023-10-01 17:55:00,2023-10-01 20:05:00,2023-10-02,1,OPEN,2,189,193,K,113.0,193,25525.29,19492.86,1.0,193,DEACTIVATED
11580,AW7908,CDG - BER,2023-10-01 18:10:00,2023-10-01 19:05:00,2023-10-02,1,OPEN,2,189,193,Z,337.0,179,16902.22,11197.11,0.93,179,DEACTIVATED
17105,AW3917,ZAG - CDG,2023-10-01 18:10:00,2023-10-01 20:20:00,2023-10-02,1,OPEN,2,189,193,H,112.0,193,30779.36,24860.09,1.0,193,DEACTIVATED
11953,AW7647,OSL - CDG,2023-10-01 19:05:00,2023-10-01 22:35:00,2023-10-03,1,OPEN,2,189,193,Z,349.0,181,29113.01,25267.79,0.94,181,DEACTIVATED
9800,AW7909,BER - CDG,2023-10-01 19:45:00,2023-10-01 22:40:00,2023-10-03,1,OPEN,2,189,193,D,232.0,161,10855.98,8927.98,0.83,161,DEACTIVATED
16106,AW3557,HEL - CDG,2023-10-01 19:50:00,2023-10-01 22:30:00,2023-10-02,1,OPEN,2,189,190,Q,176.0,191,48012.35,44342.3,1.01,191,DEACTIVATED
15581,AW3952,CDG - ZAG,2023-10-01 20:40:00,2023-10-01 22:35:00,2023-10-02,1,OPEN,2,189,192,S,236.0,190,18739.72,12820.22,0.99,190,DEACTIVATED
11578,AW4635,VIE - CDG,2023-10-01 20:50:00,2023-10-01 22:50:00,2023-10-02,1,OPEN,2,189,192,B,255.0,179,20055.76,16765.74,0.93,179,DEACTIVATED
13200,AW7662,CDG - OSL,2023-10-01 21:25:00,2023-10-01 23:05:00,2023-10-02,1,OPEN,2,189,193,M,162.0,186,14751.43,8931.57,0.96,186,DEACTIVATED
11579,AW4780,CDG - VIE,2023-10-01 21:40:00,2023-10-01 23:50:00,2023-10-02,1,OPEN,2,189,193,Z,348.0,179,27277.86,21683.61,0.93,179,DEACTIVATED
