,SERVICE_NUMBER,ROUTE,DEPARTURE,ARRIVAL,CAPTURE,DAY_X,STATUS,CABIN,CAPACITY,LID,CURRENT_BUCKET,CURRENT_BUCKET_PRICE,BOOKINGS,REVENUE_INCL_TAX,REVENUE_EXCL_TAX,MAXLEG_LF,MAXLEG_BOOKINGS,OPTIM_STATUS
9457,AW4671,BUD - CDG,2024-11-24 10:35:00,2024-11-24 15:40:00,2024-11-25,0,OPEN,2,186,188,L,75.0,155,10393.64,8871.54,0.82,155,DEACTIVATED
15578,AW7643,OSL - CDG,2024-11-24 12:55:00,2024-11-24 16:30:00,2024-11-25,0,OPEN,2,189,193,S,304.0,190,20031.0,15760.09,0.98,190,ACTIVATED
13971,AW7647,OSL - CDG,2024-11-24 13:55:00,2024-11-24 17:30:00,2024-11-25,0,OPEN,2,189,193,F,234.0,188,20181.22,15938.34,0.97,188,ACTIVATED
2778,AW7645,OSL - CDG,2024-11-24 15:40:00,2024-11-24 19:15:00,2024-11-25,0,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
15579,AW7649,OSL - CDG,2024-11-24 18:40:00,2024-11-24 22:15:00,2024-11-25,0,OPEN,2,186,193,F,234.0,190,22897.7,18603.75,0.98,190,ACTIVATED
2781,AW4630,CDG - VIE,2024-11-25 06:15:00,2024-11-25 08:25:00,2024-11-25,0,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
8768,AW3280,CDG - TLL,2024-11-25 06:20:00,2024-11-25 12:00:00,2024-11-25,0,OPEN,2,189,190,X,123.0,140,13734.51,5506.71,0.74,140,DEACTIVATED
2779,AW7640,CDG - OSL,2024-11-25 07:25:00,2024-11-25 09:05:00,2024-11-25,0,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2782,AW4631,VIE - CDG,2024-11-25 09:10:00,2024-11-25 11:20:00,2024-11-25,0,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
0,AW7641,OSL - CDG,2024-11-25 09:45:00,2024-11-25 13:20:00,2024-11-25,-1,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
16655,AW4634,CDG - VIE,2024-11-25 10:25:00,2024-11-25 12:35:00,2024-11-25,0,OPEN,2,189,192,F,206.0,192,15138.0,8919.12,1.0,192,ACTIVATED
15580,AW7644,CDG - OSL,2024-11-25 11:35:00,2024-11-25 13:15:00,2024-11-25,0,OPEN,2,189,193,H,138.0,190,13719.0,7564.9,0.98,190,ACTIVATED
2780,AW7646,CDG - OSL,2024-11-25 12:40:00,2024-11-25 14:20:00,2024-11-25,0,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11952,AW3281,TLL - CDG,2024-11-25 12:55:00,2024-11-25 14:55:00,2024-11-25,0,OPEN,2,189,184,M,240.0,181,17819.0,13656.0,0.98,181,DEACTIVATED
10148,AW3288,CDG - TLL,2024-11-25 13:10:00,2024-11-25 18:50:00,2024-11-25,0,OPEN,2,186,190,X,123.0,166,16624.79,6868.97,0.87,166,DEACTIVATED
16104,AW4635,VIE - CDG,2024-11-25 13:20:00,2024-11-25 15:30:00,2024-11-25,0,OPEN,2,189,191,Q,128.0,191,13847.6,10256.8,1.0,191,ACTIVATED
16103,AW7645,OSL - CDG,2024-11-25 13:55:00,2024-11-25 17:30:00,2024-11-25,-1,OPEN,2,189,192,Y,393.0,191,20251.0,15932.49,0.99,191,ACTIVATED
16656,AW4636,CDG - VIE,2024-11-25 14:45:00,2024-11-25 16:55:00,2024-11-25,0,OPEN,2,189,192,I,185.0,192,14857.65,8638.77,1.0,192,ACTIVATED
1,AW7647,OSL - CDG,2024-11-25 15:00:00,2024-11-25 18:35:00,2024-11-25,-1,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10668,AW7650,CDG - OSL,2024-11-25 15:35:00,2024-11-25 17:15:00,2024-11-25,0,OPEN,2,186,193,I,171.0,172,10464.0,4892.92,0.89,172,ACTIVATED
16654,AW7648,CDG - OSL,2024-11-25 16:20:00,2024-11-25 18:00:00,2024-11-25,0,OPEN,2,189,192,K,96.0,192,13222.0,7003.12,1.0,192,ACTIVATED
