SERVICE_NUMBER,ROUTE,DEPARTURE,ARRIVAL,CAPTURE,DAY_X,STATUS,CABIN,CAPACITY,LID,CURRENT_BUCKET,CURRENT_BUCKET_PRICE,BOOKINGS,REVENUE_INCL_TAX,REVENUE_EXCL_TAX,MAXLEG_LF,MAXLEG_BOOKINGS,OPTIM_STATUS
AW3121,ATH - CDG,2023-10-01 05:55:00,2023-10-01 10:25:00,2023-10-03,1,OPEN,2,189,191,B,285.0,178,24063.1,20808.07,0.93,178,DEACTIVATED
AW4781,VIE - CDG,2023-10-01 06:00:00,2023-10-01 08:00:00,2023-10-02,1,OPEN,2,189,192,Q,150.0,175,14043.0,10826.5,0.91,175,DEACTIVATED
AW7661,OSL - CDG,2023-10-01 06:00:00,2023-10-01 09:30:00,2023-10-03,1,OPEN,2,189,193,S,284.0,188,13852.75,9902.57,0.97,188,DEACTIVATED
AW7663,OSL - CDG,2023-10-01 06:30:00,2023-10-01 10:00:00,2023-10-03,1,OPEN,2,189,193,S,284.0,187,13005.64,9009.75,0.97,187,DEACTIVATED
AW3953,ZAG - CDG,2023-10-01 06:30:00,2023-10-01 08:40:00,2023-10-02,1,OPEN,2,189,193,X,60.0,193,15092.32,9165.1,1.0,193,DEACTIVATED
AW7640,CDG - OSL,2023-10-01 07:20:00,2023-10-01 09:00:00,2023-10-02,1,OPEN,2,180,184,X,77.0,158,8921.72,3959.9,0.86,158,DEACTIVATED
AW7641,OSL - CDG,2023-10-01 09:40:00,2023-10-01 13:10:00,2023-10-03,1,OPEN,2,180,184,K,99.0,186,18438.27,14468.69,1.01,186,DEACTIVATED
AW7658,CDG - OSL,2023-10-01 10:20:00,2023-10-01 12:00:00,2023-10-02,1,OPEN,2,189,193,H,145.0,185,13979.77,8187.82,0.96,185,DEACTIVATED
AW3288,CDG - TLL,2023-10-01 10:50:00,2023-10-01 15:25:00,2023-10-02,1,OPEN,2,189,194,Q,226.0,176,23772.0,13814.6,0.91,176,DEACTIVATED
AW3009,ATH - CDG,2023-10-01 10:55:00,2023-10-01 15:25:00,2023-10-03,1,OPEN,2,189,191,D,315.0,176,29264.81,26064.95,0.92,176,DEACTIVATED
AW4638,CDG - VIE,2023-10-01 11:00:00,2023-10-01 13:10:00,2023-10-02,1,OPEN,2,189,193,Y,377.0,183,23618.0,17870.57,0.95,183,DEACTIVATED
AW7659,OSL - CDG,2023-10-01 12:40:00,2023-10-01 16:10:00,2023-10-03,1,OPEN,2,189,193,Y,384.0,181,25754.67,21852.64,0.94,181,DEACTIVATED
AW4639,VIE - CDG,2023-10-01 13:55:00,2023-10-01 15:55:00,2023-10-02,1,OPEN,2,189,192,F,232.0,182,19886.52,16541.36,0.95,182,DEACTIVATED
AW3556,CDG - HEL,2023-10-01 14:40:00,2023-10-01 19:05:00,2023-10-02,1,OPEN,2,189,189,M,215.0,177,23037.29,17563.51,0.94,177,DEACTIVATED
AW3916,CDG - ZAG,2023-10-01 15:20:00,2023-10-01 17:20:00,2023-10-02,1,OPEN,2,189,192,B,184.0,182,16954.28,11308.62,0.95,182,DEACTIVATED
AW7928,CDG - CPH,2023-10-01 15:55:00,2023-10-01 16:50:00,2023-10-02,1,OPEN,2,189,194,S,222.0,190,19826.34,13736.45,0.98,190,DEACTIVATED
AW3289,TLL - CDG,2023-10-01 16:20:00,2023-10-01 19:05:00,2023-10-02,1,OPEN,2,189,193,G,91.0,193,28659.92,24220.92,1.0,193,DEACTIVATED
AW7646,CDG - OSL,2023-10-01 16:45:00,2023-10-01 18:25:00,2023-10-02,1,OPEN,2,189,193,H,145.0,174,12542.0,7080.18,0.9,174,DEACTIVATED
AW7929,CPH - CDG,2023-10-01 17:35:00,2023-10-01 20:35:00,2023-10-03,1,OPEN,2,189,192,R,77.0,136,11630.2,6217.94,0.71,136,DEACTIVATED
AW4634,CDG - VIE,2023-10-01 17:55:00,2023-10-01 20:05:00,2023-10-02,1,OPEN,2,189,193,K,113.0,193,25525.29,19492.86,1.0,193,DEACTIVATED
AW7908,CDG - BER,2023-10-01 18:10:00,2023-10-01 19:05:00,2023-10-02,1,OPEN,2,189,193,Z,337.0,179,16902.22,11197.11,0.93,179,DEACTIVATED
AW3917,ZAG - CDG,2023-10-01 18:10:00,2023-10-01 20:20:00,2023-10-02,1,OPEN,2,189,193,H,112.0,193,30779.36,24860.09,1.0,193,DEACTIVATED
AW7647,OSL - CDG,2023-10-01 19:05:00,2023-10-01 22:35:00,2023-10-03,1,OPEN,2,189,193,Z,349.0,181,29113.01,25267.79,0.94,181,DEACTIVATED
AW7909,BER - CDG,2023-10-01 19:45:00,2023-10-01 22:40:00,2023-10-03,1,OPEN,2,189,193,D,232.0,161,10855.98,8927.98,0.83,161,DEACTIVATED
AW3557,HEL - CDG,2023-10-01 19:50:00,2023-10-01 22:30:00,2023-10-02,1,OPEN,2,189,190,Q,176.0,191,48012.35,44342.3,1.01,191,DEACTIVATED
AW3952,CDG - ZAG,2023-10-01 20:40:00,2023-10-01 22:35:00,2023-10-02,1,OPEN,2,189,192,S,236.0,190,18739.72,12820.22,0.99,190,DEACTIVATED
AW4635,VIE - CDG,2023-10-01 20:50:00,2023-10-01 22:50:00,2023-10-02,1,OPEN,2,189,192,B,255.0,179,20055.76,16765.74,0.93,179,DEACTIVATED
AW7662,CDG - OSL,2023-10-01 21:25:00,2023-10-01 23:05:00,2023-10-02,1,OPEN,2,189,193,M,162.0,186,14751.43,8931.57,0.96,186,DEACTIVATED
AW4780,CDG - VIE,2023-10-01 21:40:00,2023-10-01 23:50:00,2023-10-02,1,OPEN,2,189,193,Z,348.0,179,27277.86,21683.61,0.93,179,DEACTIVATED
AW7663,OSL - CDG,2023-10-02 05:55:00,2023-10-02 09:25:00,2023-10-04,1,OPEN,2,189,193,S,284.0,189,17749.94,13774.13,0.98,189,DEACTIVATED
AW3121,ATH - CDG,2023-10-02 05:55:00,2023-10-02 10:25:00,2023-10-04,1,OPEN,2,189,193,M,208.0,186,18608.39,15187.85,0.96,186,DEACTIVATED
AW4781,VIE - CDG,2023-10-02 06:15:00,2023-10-02 08:15:00,2023-10-03,1,OPEN,2,189,192,D,279.0,184,17935.38,14553.46,0.96,184,DEACTIVATED
AW3953,ZAG - CDG,2023-10-02 06:30:00,2023-10-02 08:40:00,2023-10-03,1,OPEN,2,189,192,Y,332.0,188,19677.29,13901.84,0.98,188,DEACTIVATED
AW3280,CDG - TLL,2023-10-02 06:40:00,2023-10-02 11:15:00,2023-10-03,1,OPEN,2,189,195,H,251.0,188,25024.24,14395.41,0.96,188,DEACTIVATED
AW7640,CDG - OSL,2023-10-02 07:15:00,2023-10-02 08:55:00,2023-10-03,1,OPEN,2,189,192,X,77.0,140,8970.0,4579.8,0.73,140,DEACTIVATED
AW3550,CDG - HEL,2023-10-02 08:20:00,2023-10-02 12:45:00,2023-10-03,1,OPEN,2,189,190,V,161.0,180,19895.15,14262.33,0.95,180,DEACTIVATED
AW7641,OSL - CDG,2023-10-02 09:35:00,2023-10-02 13:05:00,2023-10-04,1,OPEN,2,189,193,X,74.0,193,20089.75,15985.47,1.0,193,DEACTIVATED
AW4632,CDG - VIE,2023-10-02 10:05:00,2023-10-02 12:15:00,2023-10-03,1,OPEN,2,189,194,Y,377.0,189,21839.86,15930.63,0.97,189,DEACTIVATED
AW7644,CDG - OSL,2023-10-02 11:10:00,2023-10-02 12:50:00,2023-10-03,1,OPEN,2,189,184,I,181.0,181,13778.0,8095.69,0.98,181,DEACTIVATED
AW3281,TLL - CDG,2023-10-02 12:25:00,2023-10-02 15:10:00,2023-10-03,1,OPEN,2,189,195,N,79.0,195,29517.2,25032.2,1.0,195,DEACTIVATED
AW4633,VIE - CDG,2023-10-02 13:00:00,2023-10-02 15:00:00,2023-10-03,1,OPEN,2,189,192,I,209.0,183,18441.76,15078.22,0.95,183,DEACTIVATED
AW3551,HEL - CDG,2023-10-02 13:30:00,2023-10-02 16:10:00,2023-10-03,1,OPEN,2,189,190,Y,417.0,184,33963.31,30398.71,0.97,184,DEACTIVATED
AW7645,OSL - CDG,2023-10-02 13:35:00,2023-10-02 17:05:00,2023-10-04,1,OPEN,2,189,186,J,316.0,184,20526.79,16564.5,0.99,184,DEACTIVATED
AW4634,CDG - VIE,2023-10-02 14:35:00,2023-10-02 16:45:00,2023-10-03,1,OPEN,2,189,194,Y,377.0,188,25016.0,19115.16,0.97,188,DEACTIVATED
AW3558,CDG - HEL,2023-10-02 14:50:00,2023-10-02 19:15:00,2023-10-03,1,CANCELLED,2,189,0,,,147,13704.72,9163.59,,147,UNAVAILABLE
AW3916,CDG - ZAG,2023-10-02 15:00:00,2023-10-02 17:00:00,2023-10-03,1,OPEN,2,189,192,D,209.0,185,16782.29,10990.34,0.96,185,DEACTIVATED
AW3009,ATH - CDG,2023-10-02 15:10:00,2023-10-02 19:40:00,2023-10-04,1,OPEN,2,189,193,B,285.0,183,25473.95,22108.58,0.95,183,DEACTIVATED
AW7648,CDG - OSL,2023-10-02 16:50:00,2023-10-02 18:30:00,2023-10-03,1,OPEN,2,189,192,L,89.0,174,11632.0,6167.18,0.91,174,DEACTIVATED
AW4635,VIE - CDG,2023-10-02 17:30:00,2023-10-02 19:30:00,2023-10-03,1,OPEN,2,189,192,M,188.0,177,14979.38,11744.5,0.92,177,DEACTIVATED
AW7928,CDG - CPH,2023-10-02 17:35:00,2023-10-02 18:30:00,2023-10-03,1,OPEN,2,189,191,K,91.0,139,10804.43,6312.92,0.73,139,DEACTIVATED
AW3917,ZAG - CDG,2023-10-02 17:50:00,2023-10-02 20:00:00,2023-10-03,1,OPEN,2,189,192,J,266.0,176,22286.35,16887.31,0.92,176,DEACTIVATED
AW7908,CDG - BER,2023-10-02 18:15:00,2023-10-02 19:10:00,2023-10-03,1,OPEN,2,189,194,Z,337.0,154,14344.0,9395.21,0.79,154,DEACTIVATED
AW7649,OSL - CDG,2023-10-02 19:10:00,2023-10-02 22:40:00,2023-10-04,1,OPEN,2,189,193,S,284.0,191,26009.76,22065.33,0.99,191,DEACTIVATED
AW7929,CPH - CDG,2023-10-02 19:15:00,2023-10-02 22:15:00,2023-10-04,1,OPEN,2,189,192,N,51.0,68,5137.26,2430.62,0.35,68,DEACTIVATED
AW7909,BER - CDG,2023-10-02 19:50:00,2023-10-02 22:45:00,2023-10-04,1,OPEN,2,189,193,Q,120.0,69,3535.0,2651.68,0.36,69,DEACTIVATED
AW3559,HEL - CDG,2023-10-02 20:00:00,2023-10-02 22:40:00,2023-10-03,1,CANCELLED,2,189,0,,,187,32135.42,28511.17,,187,UNAVAILABLE
AW3952,CDG - ZAG,2023-10-02 20:40:00,2023-10-02 22:40:00,2023-10-03,1,OPEN,2,189,192,K,76.0,193,12724.0,6672.75,1.01,193,DEACTIVATED
AW7662,CDG - OSL,2023-10-02 21:35:00,2023-10-02 23:15:00,2023-10-03,1,OPEN,2,189,192,X,77.0,156,9691.0,4798.92,0.81,156,DEACTIVATED
AW4780,CDG - VIE,2023-10-02 21:40:00,2023-10-02 23:50:00,2023-10-03,1,OPEN,2,189,194,Z,348.0,191,23184.0,17188.87,0.98,191,DEACTIVATED
AW3121,ATH - CDG,2023-10-03 05:55:00,2023-10-03 10:25:00,2023-10-05,1,OPEN,2,189,192,V,146.0,152,14466.0,11670.72,0.79,152,DEACTIVATED
AW4781,VIE - CDG,2023-10-03 06:00:00,2023-10-03 08:00:00,2023-10-04,1,OPEN,2,189,193,Q,150.0,161,12136.0,9176.82,0.83,161,DEACTIVATED
AW4670,CDG - BUD,2023-10-03 06:15:00,2023-10-03 09:20:00,2023-10-04,1,OPEN,2,189,192,D,244.0,181,19824.0,14201.21,0.94,181,DEACTIVATED
AW7663,OSL - CDG,2023-10-03 06:30:00,2023-10-03 10:00:00,2023-10-05,1,OPEN,2,189,194,T,54.0,194,14790.34,10755.98,1.0,194,DEACTIVATED
AW3953,ZAG - CDG,2023-10-03 06:30:00,2023-10-03 08:40:00,2023-10-04,1,OPEN,2,189,192,A,37.0,192,9289.87,3379.03,1.0,192,DEACTIVATED
AW7640,CDG - OSL,2023-10-03 07:20:00,2023-10-03 08:55:00,2023-10-04,1,OPEN,2,189,193,X,77.0,143,8308.0,3815.51,0.74,143,DEACTIVATED
AW7641,OSL - CDG,2023-10-03 09:35:00,2023-10-03 13:05:00,2023-10-05,1,OPEN,2,189,194,N,39.0,194,15450.19,11396.69,1.0,194,DEACTIVATED
AW3288,CDG - TLL,2023-10-03 10:00:00,2023-10-03 14:35:00,2023-10-04,1,OPEN,2,189,194,K,178.0,181,23390.86,13145.64,0.93,181,DEACTIVATED
AW4632,CDG - VIE,2023-10-03 10:05:00,2023-10-03 12:15:00,2023-10-04,1,OPEN,2,189,193,S,292.0,182,15141.29,9421.03,0.94,182,DEACTIVATED
AW3916,CDG - ZAG,2023-10-03 10:40:00,2023-10-03 12:40:00,2023-10-04,1,OPEN,2,189,193,I,143.0,182,15099.77,9413.53,0.94,182,DEACTIVATED
AW7658,CDG - OSL,2023-10-03 11:25:00,2023-10-03 13:05:00,2023-10-04,1,OPEN,2,189,193,R,67.0,150,9718.29,5004.79,0.78,150,DEACTIVATED
AW3558,CDG - HEL,2023-10-03 11:25:00,2023-10-03 15:50:00,2023-10-04,1,OPEN,2,189,192,L,134.0,155,16055.86,11198.59,0.81,155,DEACTIVATED
AW7644,CDG - OSL,2023-10-03 11:50:00,2023-10-03 13:30:00,2023-10-04,1,OPEN,2,189,193,R,67.0,157,10689.54,5755.03,0.81,157,DEACTIVATED
AW4633,VIE - CDG,2023-10-03 13:05:00,2023-10-03 15:05:00,2023-10-04,1,OPEN,2,189,193,H,168.0,191,12425.76,8915.18,0.99,191,DEACTIVATED
AW3917,ZAG - CDG,2023-10-03 13:30:00,2023-10-03 15:40:00,2023-10-04,1,OPEN,2,189,192,B,184.0,180,13672.66,8148.07,0.94,180,DEACTIVATED
AW7659,OSL - CDG,2023-10-03 13:50:00,2023-10-03 17:20:00,2023-10-05,1,OPEN,2,189,194,M,167.0,190,13918.16,9901.06,0.98,190,DEACTIVATED
AW7645,OSL - CDG,2023-10-03 14:15:00,2023-10-03 17:45:00,2023-10-05,1,OPEN,2,189,194,H,148.0,191,13307.56,9323.46,0.98,191,DEACTIVATED
AW7646,CDG - OSL,2023-10-03 14:20:00,2023-10-03 16:00:00,2023-10-04,1,OPEN,2,189,193,T,59.0,151,9073.0,4329.07,0.78,151,DEACTIVATED
AW3289,TLL - CDG,2023-10-03 15:35:00,2023-10-03 18:20:00,2023-10-04,1,OPEN,2,189,194,K,178.0,178,22392.44,18298.44,0.92,178,DEACTIVATED
AW7908,CDG - BER,2023-10-03 16:05:00,2023-10-03 17:00:00,2023-10-04,1,OPEN,2,189,195,Q,128.0,156,10722.15,5705.33,0.8,156,DEACTIVATED
AW3559,HEL - CDG,2023-10-03 16:35:00,2023-10-03 19:15:00,2023-10-04,1,OPEN,2,189,190,J,354.0,186,28322.25,24706.55,0.98,186,DEACTIVATED
